year,tmax,,,
1921,65.00363636,,,63.67435173
1922,62.30136986,,,
1923,64.02191781,,,
1924,63.33060109,,,
1925,64.17808219,,,
1926,65.56986301,,,
1927,63.58630137,,,
1928,63.34699454,,,
1929,64.04109589,,,
1930,64.41643836,,,
1931,65.0630137,,,
1932,63.8852459,,,
1933,62.87945205,,,
1934,65.49863014,,,
1935,63.72054795,,,
1936,64.92896175,,,
1937,62.43013699,,,
1938,62.25479452,,,
1939,63.76986301,,,
1940,63.78415301,,,
1941,63.84383562,,,
1942,61.95616438,,,
1943,63.19452055,,,
1944,61.77595628,,,
1945,62.16164384,,,
1946,61.8,,,
1947,63.22739726,,,
1948,61.61202186,,,
1949,61.45479452,,,
1950,62.20547945,,,
1951,60.93972603,,,
1952,61.31967213,,,
1953,62.87671233,,,
1954,62.22191781,,,
1955,61.24109589,,,
1956,62.74590164,,,
1957,62.89863014,,,
1958,64.65753425,,,
1959,65.04657534,,,
1960,62.00819672,,,
1961,62.69041096,,,
1962,61.7369863,,,
1963,62.54246575,,,
1964,62.18032787,,,
1965,61.8,,,
1966,62.78082192,,,
1967,62.50136986,,,
1968,62.41256831,,,
1969,61.96712329,,,
1970,62.57260274,,,
1971,61.19452055,,,
1972,61.46174863,,,
1973,61.96438356,,,
1974,61.77534247,,,
1975,61.36712329,,,
1976,63.8715847,,,
1977,62.62465753,,,
1978,63.92328767,,,
1979,63.53972603,,,
1980,62.89344262,,,
1981,62.91506849,,,
1982,61.84931507,,,
1983,65.54520548,,,
1984,65.95628415,,,
1985,65.67945205,,,
1986,67,,,
1987,66.7890411,,,
1988,67.09289617,,,
1989,65.87123288,,,
1990,66.67123288,,,
1991,66.10410959,,,
1992,68.45355191,,,
1993,67.76986301,,,
1994,65.09041096,,,
1995,67.04931507,,,
1996,NA,,,
1997,67.61917808,,,
1998,62.83835616,,,
1999,62.60821918,,,
2000,63.36338798,,,
2001,64.99726027,,,
2002,63.73150685,,,
2003,64.94246575,,,
2004,64.93715847,,,
2005,64.25205479,,,
2006,63.0109589,,,
2007,63.83013699,,,
2008,63.99453552,,,
2009,63.94794521,,,
2010,62.68767123,,,
2011,62.76438356,,,
2012,62.90437158,,,
2013,64.10410959,,,
2014,66.04109589,,,
2015,65.97260274,,,
2016,64.34153005,,,
2017,65.28767123,,,
2018,63.92307692,,,
2019,64.43287671,,,
2020,65.34699454,,,
2021,62.74246575,,,
2022,61.65116279,,,